"currency","persistence","model_variance","sample_variance","ratio"
"CNY",0.905399708618302,0.308101947036945,0.336854610445824,0.914643699337156
"USD",0.968310866787419,0.472532226504412,0.438086259447526,1.0786282754002
"TWI",0.902964714311395,0.239297538158913,0.267471013807256,0.894667181885192
"SDR",0.960772087133513,0.410960066662619,0.449171780479703,0.9149285073602
