"currency","arma_model","aic","bic","lb_p"
"CNY","ARMA(2,3)",3521.95852184499,3561.21714316566,0.0835385590331666
"USD","ARMA(1,0)",4054.69282765768,4071.51795108082,0.163591450398899
"TWI","ARMA(1,3)",3046.53496900805,3080.18521585434,0.126016107556952
"SDR","ARMA(0,1)",4010.03714522661,4026.86226864975,0.324301953765774
