"currency","lb_z_p","lb_z2_p_course","lb_z2_p_adjusted"
"CNY",0.0748627534556187,0.1857263063163,0.089114486724193
"USD",0.70076209566804,0.050937991270157,0.0194493317614752
"TWI",0.556042105693018,0.242085182314428,0.123323892743515
"SDR",0.918852809238384,0.150828674481384,0.0693234315278116
