"currency","mu_t1","sigma_t1","prob_t1","mu_t2","sigma_t2","prob_t2"
"CNY",-0.0120854094623254,0.494577809159754,0.509828146692037,-0.0118233172631555,0.500401725038772,0.50950489391946
"USD",-0.00246643471945597,0.493119296894309,0.502076281954048,-0.00226461216691969,0.484380373362077,0.501947519088684
"TWI",-0.054331235464723,0.400516852360831,0.55405081446603,-0.00136407616640682,0.407527964038158,0.501433228341688
"SDR",-0.013555691554931,0.467525168460171,0.511650834166372,-0.00981408972752217,0.470363739005608,0.508408081666486
