"term","estimate"
"ar1",0.00178061080243305
"ar2",0.0534050867452983
"ar3",0.134273206342229
"ar4",0.456356399670571
"ar5",0.121431623165637
"ar6",0.0667941619743257
"ar7",-0.38408551228255
"ma1",0.473568512461187
"ma2",-0.267264702073774
"ma3",-0.00573744911415171
"ma4",-0.40452661945007
"ma5",-0.370379347219979
"drift",0.00149283761232663
