Date,CNY,USD,TWI,SDR
21-Jun-2018,4.7805,0.736,61.9,0.5228
22-Jun-2018,4.8095,0.7398,62.1,0.5261
25-Jun-2018,4.8508,0.7419,62.4,0.5256
26-Jun-2018,4.8575,0.7416,62.4,0.5256
27-Jun-2018,4.8642,0.738,62.3,0.5231
28-Jun-2018,4.8614,0.7353,62.3,0.5221
29-Jun-2018,4.8888,0.7391,62.6,0.5261
02-Jul-2018,4.9053,0.7382,62.6,0.5248
03-Jul-2018,4.9312,0.736,62.6,0.5236
04-Jul-2018,4.9054,0.7401,62.7,0.5262
05-Jul-2018,4.8997,0.7378,62.5,0.5246
06-Jul-2018,4.9258,0.7408,62.8,0.5258
09-Jul-2018,4.9452,0.7467,63.1,0.5299
10-Jul-2018,4.9312,0.7457,63,0.5274
11-Jul-2018,4.9368,0.7408,62.8,0.5258
12-Jul-2018,4.9417,0.7384,62.9,0.5244
13-Jul-2018,4.9437,0.7416,63.1,0.5279
16-Jul-2018,4.973,0.7436,63.3,0.5304
17-Jul-2018,4.9643,0.7427,63.1,0.5276
18-Jul-2018,4.9395,0.7361,62.8,0.5232
19-Jul-2018,4.9949,0.7411,63.3,0.5294
20-Jul-2018,4.9972,0.7375,63.1,0.5278
23-Jul-2018,5.0231,0.7423,63.3,0.5302
24-Jul-2018,5.0279,0.7376,63.2,0.5249
25-Jul-2018,5.0273,0.7402,63.2,0.5268
26-Jul-2018,5.0396,0.7436,63.3,0.5292
27-Jul-2018,5.0273,0.7389,63.1,0.5256
30-Jul-2018,5.0521,0.7397,63.3,0.5281
31-Jul-2018,5.0701,0.7431,63.5,0.5295
01-Aug-2018,5.0565,0.7407,63.4,0.5272
02-Aug-2018,5.0348,0.7385,63.2,0.5263
03-Aug-2018,5.0621,0.737,63.3,0.5265
07-Aug-2018,5.074,0.7402,63.5,0.5306
08-Aug-2018,5.0694,0.7427,63.6,0.5311
09-Aug-2018,5.0751,0.7441,63.7,0.5326
10-Aug-2018,5.0242,0.7331,63.1,0.5245
13-Aug-2018,5.0037,0.7279,62.8,0.5232
14-Aug-2018,5.0062,0.7271,62.7,0.524
15-Aug-2018,4.9805,0.7213,62.4,0.5195
16-Aug-2018,5.0082,0.7275,62.8,0.5259
17-Aug-2018,5.01,0.727,62.8,0.5245
20-Aug-2018,5.0055,0.7306,62.9,0.5264
21-Aug-2018,5.0353,0.736,63.1,0.5298
22-Aug-2018,5.0347,0.7356,63.1,0.5273
23-Aug-2018,5.0115,0.7294,62.7,0.5217
24-Aug-2018,5.0113,0.728,62.7,0.5212
27-Aug-2018,4.9901,0.7323,62.7,0.5245
28-Aug-2018,4.994,0.7328,62.7,0.524
29-Aug-2018,4.9829,0.7309,62.6,0.5211
30-Aug-2018,4.9784,0.728,62.4,0.5199
31-Aug-2018,4.9571,0.726,62.2,0.5177
03-Sep-2018,4.919,0.72,61.8,0.5138
04-Sep-2018,4.932,0.7228,62.1,0.5158
05-Sep-2018,4.9149,0.7186,61.9,0.5152
06-Sep-2018,4.904,0.7171,61.7,0.5136
07-Sep-2018,4.892,0.7151,61.5,0.5112
10-Sep-2018,4.8816,0.7115,61.4,0.5082
11-Sep-2018,4.8924,0.7126,61.4,0.5103
12-Sep-2018,4.881,0.7103,61.3,0.5084
13-Sep-2018,4.9182,0.7181,61.8,0.5142
14-Sep-2018,4.9355,0.72,61.9,0.5144
